Hepler	sameSp	Type
S60	S689	KS
S60	S690	NS
S08	S691	NS
S26	S692	KS
S60	S693	NS
S63	S694	NS
S11	S694	NS
S63	S695	NS
S47	S696	NS
S47	S696	NS
S47	S696	NS
S60	S697	NS
S47	S698	KS
S26	S699	KS
S20	S700	KS
S47	S700	KS
S47	S701	KS
S60	S702	KS
S47	S703	NS
S47	S704	KS
S11	S705	KS
S26	S705	KS
S60	S705	KS
S64	S705	KS
S26	S706	NS
S20	S706	NS
S08	S707	NS
S64	S707	NS
S60	S707	NS
S60	S707	NS
S64	S708	NS
S60	S709	NS
S64	S710	NS
S20	S710	NS
S64	S711	KS
S26	S712	NS
S26	S712	NS
S26	S712	NS
S26	S713	NS
